time,term,selected_cui,searched_cui
2017-10-17T12:44:15.000Z,"Acute graft-versus-host reaction following bone marrow transplant",NULL,C4081640
2017-10-19T13:30:36.000Z,Kid,NULL,NULL
2017-10-19T13:31:48.000Z,"Neoplasm of uncertain or unknown behavior of kidney",C0496927,NULL
2017-10-19T13:38:08.000Z,Kidnet,NULL,NULL
2017-10-19T13:38:09.000Z,Kidney,NULL,NULL
2017-10-19T13:38:12.000Z,"Kidney diseases",C0022658,NULL
2017-10-19T13:40:15.000Z,"Kidney diseases",NULL,NULL
2017-10-19T13:40:22.000Z,"Renal pr",NULL,NULL
2017-10-19T13:40:23.000Z,"Renal pruri",NULL,NULL
2017-10-19T13:40:26.000Z,"Renal pru",NULL,NULL
2017-10-19T13:40:29.000Z,"Renal pr",NULL,NULL
2017-10-19T13:40:35.000Z,"Renal pr",NULL,NULL
2017-10-19T13:40:50.000Z,"Uremic pruritus",NULL,NULL
2017-10-19T13:40:51.000Z,"Uraemic pruritus",C1262019,NULL
2017-10-19T13:42:00.000Z,"Uraemic pruritus",NULL,C1262019
2017-10-19T13:42:33.000Z,"Uraemic pruritus",NULL,C1262019
2017-10-13T13:09:58.000Z,glio,NULL,NULL
2017-10-13T13:09:59.000Z,gliob,NULL,NULL
2017-10-13T13:10:02.000Z,glioblastom,NULL,NULL
2017-10-13T13:10:02.000Z,Glioblastoma,C0017636,NULL
2017-10-13T13:10:03.000Z,"adult glioblastoma",C0278878,NULL
2017-10-16T10:37:22.000Z,pa,NULL,NULL
2017-10-16T10:37:25.000Z,pancrea,NULL,NULL
2017-10-16T10:37:48.000Z,pancreatic,NULL,NULL
2017-10-16T10:37:50.000Z,"pancreatic c",NULL,NULL
2017-10-16T10:37:51.000Z,"pancreatic ca",NULL,NULL
2017-10-16T10:37:54.000Z,"pancreatic cancer",NULL,NULL
2017-10-16T10:38:15.000Z,"Pancreatic carcinoma",C0235974,NULL
2017-10-16T10:41:11.000Z,"pancreatic cancer  Read more at: https://thefly.com/landingPageNews.php?id=2575994",NULL,NULL
2017-10-16T10:41:16.000Z,"pancreatic ca",NULL,NULL
2017-10-16T10:41:18.000Z,"pancreatic cancer",NULL,NULL
2017-10-16T10:41:39.000Z,"Cellular diagnosis, pancreatic cancer",C0279884,NULL
2017-10-16T10:41:50.000Z,"Cellular diagnosis, pancreatic cancer",NULL,NULL
2017-10-16T10:42:00.000Z,"pancreatic cancer  Read more at: https://thefly.com/landingPageNews.php?id=2575994",NULL,NULL
2017-10-16T10:42:04.000Z,"pancreatic cancer",NULL,NULL
2017-10-16T10:42:11.000Z,"Stage, pancreatic cancer",C0280222,NULL
2017-10-16T10:42:42.000Z,"Pancreatic carcinoma stage III",C1167722,NULL
2017-10-16T10:43:58.000Z,"Pancreatic carcinoma stage III",NULL,C1167722
2017-10-18T07:08:39.000Z,si,NULL,NULL
2017-10-18T07:08:41.000Z,sic,NULL,NULL
2017-10-18T07:08:42.000Z,sickle,NULL,NULL
2017-10-18T07:08:42.000Z,sick,NULL,NULL
2017-10-18T07:09:13.000Z,"Sickle cell hb-ss disease without crisis",C3835776,NULL
2017-10-13T14:01:55.000Z,ibs,NULL,NULL
2017-10-13T14:01:57.000Z,"Irritable bowel syndrome",C0022104,NULL
2017-10-13T14:02:19.000Z,"Irritable bowel syndrome with diarrhea",C0348898,NULL
2017-10-14T13:58:39.000Z,hbv,NULL,NULL
2017-10-14T13:58:43.000Z,"Hepatitis b",C0019163,NULL
2017-10-14T13:58:46.000Z,"Acute type B viral hepatitis",C0276609,NULL
2017-10-14T13:58:47.000Z,"acute hepatitis B infection with hepatitis delta",C2063423,NULL
2017-10-14T13:58:51.000Z,"acute hepatitis B infection with hepatitis delta",NULL,C2063423
2017-10-15T09:50:49.000Z,pul,NULL,NULL
2017-10-15T09:50:51.000Z,pulm,NULL,NULL
2017-10-15T09:50:53.000Z,pulma,NULL,NULL
2017-10-15T09:50:59.000Z,lung,NULL,NULL
2017-10-15T09:51:05.000Z,"lung ca",NULL,NULL
2017-10-15T09:51:10.000Z,"lung canc",NULL,NULL
2017-10-15T09:51:14.000Z,lungcanc,NULL,NULL
2017-10-15T09:51:20.000Z,lungcancer,NULL,NULL
2017-10-15T09:51:35.000Z,"lung cancer",NULL,NULL
2017-10-15T09:54:36.000Z,"Large cell carcinoma of lung",C0345958,NULL
2017-10-15T09:54:58.000Z,"Large cell carcinoma of lung, TNM stage 4",C1828342,NULL
2017-10-15T09:56:34.000Z,"Large cell carcinoma of lung, TNM stage 4",NULL,C1828342
2017-10-16T04:22:23.000Z,hunt,NULL,NULL
2017-10-16T04:22:23.000Z,hunti,NULL,NULL
2017-10-16T04:22:24.000Z,hunting,NULL,NULL
2017-10-16T04:22:26.000Z,huntington,NULL,NULL
2017-10-16T04:22:33.000Z,amyloid,NULL,NULL
2017-10-16T04:23:09.000Z,"Inherited cardiac amyloidosis",C2077035,NULL
2017-10-16T10:52:08.000Z,pain,NULL,NULL
2017-10-16T10:52:11.000Z,Pain,C0030193,NULL
2017-10-16T10:52:14.000Z,"Abdomen, Acute",C0000727,NULL
2017-10-16T10:52:22.000Z,"Abdomen, Acute",NULL,C0000727
2017-10-16T11:23:59.000Z,kide,NULL,NULL
2017-10-16T11:24:00.000Z,kidney,NULL,NULL
2017-10-16T11:24:10.000Z,"Benign neoplasm of kidney",C0496892,NULL
2017-10-16T11:24:13.000Z,"Benign cystic nephroma",C1266138,NULL
2017-10-17T21:47:43.000Z,"small cell",NULL,NULL
2017-10-17T21:47:46.000Z,"small cell lun",NULL,NULL
2017-10-17T21:47:50.000Z,"Small cell carcinoma of lung",C0149925,NULL
2017-10-17T21:48:22.000Z,"Primary small cell malignant neoplasm of lung, TNM stage 4",C4274226,NULL
2017-10-17T21:50:05.000Z,"Primary small cell malignant neoplasm of lung, TNM stage 4",NULL,C4274226
2017-10-17T21:50:23.000Z,"Primary small cell malignant neoplasm of lung, TNM stage 4",NULL,C4274226
2017-10-17T21:50:46.000Z,"Primary small cell malignant neoplasm of lung, TNM stage 4",NULL,C4274226
2017-10-17T21:50:57.000Z,"Primary small cell malignant neoplasm of lung, TNM stage 4",NULL,C4274226
2017-10-17T21:51:16.000Z,"Primary small cell malignant neoplasm of lung, TNM stage 4",NULL,C4274226
2017-10-17T22:00:38.000Z,"lung cancer",NULL,NULL
2017-10-17T22:00:44.000Z,"Carcinoma of lung",C0684249,NULL
2017-10-17T22:00:48.000Z,"Carcinoma of lung",NULL,NULL
2017-10-17T22:01:11.000Z,"Carcinoma of lung small",NULL,NULL
2017-10-17T22:01:13.000Z,"Carcinoma of lung small cell",NULL,NULL
2017-10-17T22:01:21.000Z,"smaal cell lung",NULL,NULL
2017-10-17T22:01:24.000Z,"smal cell lung",NULL,NULL
2017-10-17T22:01:26.000Z,"small cell lung",NULL,NULL
2017-10-17T22:01:30.000Z,"Small cell carcinoma of lung",C0149925,NULL
2017-10-17T22:02:00.000Z,"small cell carcinoma of lung with metastasis",C2063925,NULL
2017-10-17T22:02:56.000Z,"small cell carcinoma of lung with metastasis",NULL,C2063925
2017-10-19T09:37:20.000Z,[p,NULL,NULL
2017-10-19T09:37:20.000Z,parkinson,NULL,NULL
2017-10-19T09:37:28.000Z,"Parkinson disease",C0030567,NULL
2017-10-19T09:37:31.000Z,"Dementia in Parkinson's disease",C0349081,NULL
2017-10-19T09:37:33.000Z,"Parkinson's disease with dementia with behavioral disturbance",C2034549,NULL
2017-10-19T09:37:40.000Z,"Parkinson's disease with dementia with behavioral disturbance",NULL,C2034549
2017-10-20T00:33:32.000Z,lo,NULL,NULL
2017-10-20T00:33:35.000Z,"loss of sme",NULL,NULL
2017-10-20T00:33:37.000Z,"loss of smell",NULL,NULL
2017-10-20T00:33:38.000Z,Anosmia,C0003126,NULL
2017-10-20T00:33:52.000Z,"sense of smell lost (anosmia) bilaterally (symptom)",C2129118,NULL
2017-10-20T13:37:14.000Z,"lung cancer",NULL,NULL
2017-10-20T13:37:23.000Z,"lung cancer",NULL,NULL
2017-10-20T13:37:42.000Z,"Lung cancer, somatic",C4016400,NULL
2017-10-20T13:37:48.000Z,"Lung cancer, somatic",C4016400,NULL
2017-10-20T13:37:50.000Z,"Lung cancer, somatic",NULL,NULL
2017-10-20T13:37:53.000Z,"Lung cancer",NULL,NULL
2017-10-20T13:37:59.000Z,"Recurrent lung cancer",C0862802,NULL
2017-10-13T08:52:42.000Z,necrose,NULL,NULL
2017-10-13T08:52:46.000Z,"Bone necrosis",C0029445,NULL
2017-10-13T08:52:52.000Z,"Avascular necrosis of bone",C0027543,NULL
2017-10-13T08:56:12.000Z,"Avascular necrosis of femoral condyle",C3266100,NULL
2017-10-13T08:57:49.000Z,"Avascular necrosis of the medial femoral condyle",C0410479,NULL
2017-10-13T14:25:30.000Z,"lung cancer",NULL,NULL
2017-10-13T14:25:37.000Z,"Stage iii lung cancer",C0862847,NULL
2017-10-13T14:25:43.000Z,"Non-small cell lung cancer stage III",C0278506,NULL
2017-10-13T14:25:49.000Z,"Non-small cell lung cancer stage IIIA",C0278983,NULL
2017-10-13T14:25:56.000Z,"Adenocarcinoma of lung stage IIIA",C0862792,NULL
2017-10-16T14:23:01.000Z,diabetes,NULL,NULL
2017-10-16T14:23:05.000Z,Diabetes,C0011847,NULL
2017-10-16T14:23:08.000Z,"Diabetes Mellitus",C0011849,NULL
2017-10-16T14:23:15.000Z,"Complications of Diabetes Mellitus",C0342257,NULL
2017-10-16T14:23:17.000Z,"Anemia of diabetes",C0271931,NULL
2017-10-16T14:24:10.000Z,m,NULL,NULL
2017-10-16T14:24:17.000Z,"inherited bli",NULL,NULL
2017-10-16T14:24:22.000Z,"inherited blindness",NULL,NULL
2017-10-16T14:24:26.000Z," blindness",NULL,NULL
2017-10-16T14:24:27.000Z,blindness,NULL,NULL
2017-10-16T14:24:33.000Z,"Impairment level: total impairment of both eyes (disorder)",C0271217,NULL
2017-10-17T10:27:54.000Z,"breast c",NULL,NULL
2017-10-17T10:27:57.000Z,"breast cancer",NULL,NULL
2017-10-17T10:28:12.000Z,"Breast cancer recurrent",C0278493,NULL
2017-10-17T10:28:14.000Z,"Inflammatory carcinoma of breast recurrent",C0853968,NULL
2017-10-17T10:28:21.000Z,"Breast cancer recurrent",C0278493,NULL
2017-10-17T10:29:56.000Z,"Breast cancer recurrent",NULL,C0278493
2017-10-17T10:30:49.000Z,"Breast cancer recurrent",NULL,C0278493
2017-10-17T10:31:09.000Z,"Breast cancer recurrent",NULL,C0278493
2017-10-17T10:33:07.000Z,"Breast cancer recurrent",C0278493,NULL
2017-10-17T10:33:10.000Z,"Breast cancer recurrent",NULL,NULL
2017-10-17T10:33:20.000Z,"breast cancer",NULL,NULL
2017-10-17T10:33:23.000Z,"Breast carcinoma",C0678222,NULL
2017-10-17T10:34:13.000Z,"Female Breast Carcinoma",C0007104,NULL
2017-10-17T10:34:18.000Z,"Female Breast Carcinoma",NULL,C0007104
2017-10-17T10:34:26.000Z,"Female Breast Carcinoma",C0007104,NULL
2017-10-17T10:34:31.000Z,"Female Breast Carcinoma",C0007104,NULL
2017-10-17T10:34:33.000Z,"Breast carcinoma",C0678222,NULL
2017-10-17T10:35:43.000Z,"Breast carcinoma",NULL,C0678222
2017-10-17T16:39:22.000Z,sc,NULL,NULL
2017-10-17T16:39:27.000Z,scl,NULL,NULL
2017-10-17T16:39:34.000Z,"Scleredema adultorum",C0036413,NULL
2017-10-17T17:44:15.000Z,gvhd,NULL,NULL
2017-10-17T17:44:18.000Z,"Graft-vs-host disease",C0018133,NULL
2017-10-17T17:44:21.000Z,"Acute graft-versus-host reaction following bone marrow transplant",C4081640,NULL
2017-10-18T11:03:45.000Z,"spinal muscular atrophy",NULL,NULL
2017-10-18T11:03:46.000Z,"Spinal muscular atrophy",C0026847,NULL
2017-10-18T11:03:58.000Z,"Muscular Atrophy, Spinal, Type II",C0393538,NULL
2017-10-18T15:59:36.000Z,thyroid,NULL,NULL
2017-10-18T15:59:44.000Z,hypothyroid,NULL,NULL
2017-10-18T15:59:46.000Z,Hypothyroidism,C0020676,NULL
2017-10-18T15:59:53.000Z,"Acquired hypothyroidism",C0700502,NULL
2017-10-18T16:00:01.000Z,"Hypothyroid goiter, acquired",C0342156,NULL
2017-10-18T16:03:15.000Z,"Hypothyroid goiter, acquired",NULL,C0342156
2017-10-19T09:12:27.000Z,cone,NULL,NULL
2017-10-19T09:12:29.000Z,"Cone dysfunction",C0543968,NULL
2017-10-19T09:13:06.000Z,"Cone dysfunction",NULL,C0543968
2017-10-19T10:20:42.000Z,mye,NULL,NULL
2017-10-19T10:20:44.000Z,myeloma,NULL,NULL
2017-10-19T10:20:47.000Z,"Multiple myeloma",C0026764,NULL
2017-10-19T10:20:59.000Z,"multiple myeloma in relapse",C2349261,NULL
2017-10-19T10:21:42.000Z,"multiple myeloma in relapse",NULL,C2349261
2017-10-19T10:21:59.000Z,"multiple myeloma in relapse",NULL,C2349261
2017-10-19T18:25:12.000Z,Sİ,NULL,NULL
2017-10-19T18:25:15.000Z,S,NULL,NULL
2017-10-19T18:25:19.000Z,S,NULL,NULL
2017-10-19T18:25:24.000Z,"Sickle cek",NULL,NULL
2017-10-19T18:25:38.000Z,"Sickle ce",NULL,NULL
2017-10-19T18:25:40.000Z,"Sickle cell",NULL,NULL
2017-10-19T18:26:07.000Z,"Sickle cell anemia with no crisis",C0472773,NULL
2017-10-13T15:21:32.000Z,glomerulo,NULL,NULL
2017-10-13T15:21:36.000Z,Glomerulonephritis,C0017658,NULL
2017-10-13T15:22:22.000Z,"IGA Glomerulonephritis",C0017661,NULL
2017-10-13T15:22:28.000Z,"Primary immunoglobulin A nephropathy (disorder)",C3161650,NULL
2017-10-13T15:23:38.000Z,"Primary immunoglobulin A nephropathy (disorder)",NULL,C3161650
2017-10-15T16:13:37.000Z,Fibro,NULL,NULL
2017-10-15T16:13:41.000Z,Fibromy,NULL,NULL
2017-10-15T16:13:45.000Z,Fibromyalgia,NULL,NULL
2017-10-15T16:13:48.000Z,Fibromyalgia,C0016053,NULL
2017-10-15T16:14:26.000Z,Fibromyalgia,NULL,C0016053
2017-10-15T16:16:08.000Z,Glomeruloneph,NULL,NULL
2017-10-15T16:16:11.000Z,Glomerulonephritis,C0017658,NULL
2017-10-15T16:17:16.000Z,Glomerulonephritis,NULL,C0017658
2017-10-15T16:19:30.000Z,Glomerulonephritis,NULL,C0017658
2017-10-15T16:20:11.000Z,Glomerulonephritis,NULL,C0017658
2017-10-16T16:46:28.000Z,esop,NULL,NULL
2017-10-16T16:46:28.000Z,esopho,NULL,NULL
2017-10-16T16:46:31.000Z,esophoga,NULL,NULL
2017-10-16T16:46:36.000Z,reflux,NULL,NULL
